Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Kaitlyn Chen,GS,GS vs. CHI,08/13/2026,2026,W,21,6,2,3,66.7,2,2,100.0,0,0,0.0,0,1,1,0,1,0,2,0,+19
Juste Jocyte,GS,GS vs. CHI,08/13/2026,2026,W,2,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,+1
Jacy Sheldon,CHI,CHI @ GS,08/13/2026,2026,L,25,8,3,6,50.0,2,4,50.0,0,0,0.0,1,1,2,0,4,0,2,4,-9
Rachel Banham,CHI,CHI @ GS,08/13/2026,2026,L,20,11,4,9,44.4,3,7,42.9,0,0,0.0,0,4,4,0,1,1,1,2,-11
DiJonai Carrington,CHI,CHI @ GS,08/13/2026,2026,L,24,3,1,9,11.1,0,1,0.0,1,2,50.0,1,2,3,1,1,0,3,3,-12
Aicha Coulibaly,CHI,CHI @ GS,08/13/2026,2026,L,20,8,3,3,100.0,1,1,100.0,1,2,50.0,0,1,1,0,2,0,1,1,-12
Gabriela Jaquez,CHI,CHI @ GS,08/13/2026,2026,L,13,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,1,-19
Cecilia Zandalasini,GS,GS vs. CHI,08/13/2026,2026,W,30,12,4,10,40.0,1,3,33.3,3,4,75.0,0,4,4,1,3,2,1,4,+2
Nadia Fingall,GS,GS vs. CHI,08/13/2026,2026,W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,+1
Alysha Clark,DAL,DAL vs. TOR,08/13/2026,2026,W,16,6,2,3,66.7,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,2,-7
Paige Bueckers,DAL,DAL vs. TOR,08/13/2026,2026,W,34,22,7,18,38.9,1,5,20.0,7,7,100.0,0,3,3,8,3,0,1,4,+1
Arike Ogunbowale,DAL,DAL vs. TOR,08/13/2026,2026,W,35,21,4,12,33.3,0,5,0.0,13,14,92.9,0,2,2,5,1,0,5,3,+16
Awak Kuier,DAL,DAL vs. TOR,08/13/2026,2026,W,25,14,6,9,66.7,2,3,66.7,0,0,0.0,2,2,4,1,1,1,0,1,+4
Alanna Smith,DAL,DAL vs. TOR,08/13/2026,2026,W,33,13,5,7,71.4,2,4,50.0,1,2,50.0,3,8,11,4,1,1,1,1,+20
Kia Nurse,TOR,TOR @ DAL,08/13/2026,2026,L,22,16,6,11,54.5,4,8,50.0,0,0,0.0,0,0,0,1,0,0,1,2,+3
Kaila Charles,GS,GS vs. CHI,08/13/2026,2026,W,25,15,6,12,50.0,1,4,25.0,2,2,100.0,3,2,5,2,3,0,1,0,+16
Marina Mabrey,TOR,TOR @ DAL,08/13/2026,2026,L,31,23,7,15,46.7,3,9,33.3,6,7,85.7,0,2,2,4,0,1,2,3,-18
Laura Juskaite,TOR,TOR @ DAL,08/13/2026,2026,L,32,18,8,17,47.1,1,5,20.0,1,1,100.0,3,4,7,0,3,0,2,3,-4
Isabelle Harrison,TOR,TOR @ DAL,08/13/2026,2026,L,30,4,2,8,25.0,0,3,0.0,0,1,0.0,3,7,10,5,1,2,4,3,+6
Aneesah Morrow,TOR,TOR @ DAL,08/13/2026,2026,L,22,8,1,4,25.0,0,1,0.0,6,6,100.0,2,4,6,2,0,1,2,4,+4
Natasha Howard,MIN,MIN @ POR,08/13/2026,2026,W,28,14,6,8,75.0,0,0,0.0,2,4,50.0,3,9,12,4,2,0,3,3,+8
Jaylyn Sherrod,ATL,ATL @ CON,08/13/2026,2026,W,12,4,1,3,33.3,0,0,0.0,2,2,100.0,0,2,2,2,0,1,0,4,-6
Bridget Carleton,POR,POR vs. MIN,08/13/2026,2026,L,33,16,6,14,42.9,1,7,14.3,3,4,75.0,0,5,5,2,2,1,2,1,+7
Megan DiLeo,POR,POR vs. MIN,08/13/2026,2026,L,23,12,5,13,38.5,1,5,20.0,1,2,50.0,4,3,7,1,0,0,0,2,-6
Karlie Samuelson,POR,POR vs. MIN,08/13/2026,2026,L,16,5,1,4,25.0,1,3,33.3,2,2,100.0,0,0,0,1,0,0,0,2,-4
