Player,Team,Age,Height,Weight,College,Country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Pauline Astier,NYL,24,5-11,-,None,France,24,9.9,2.8,3.6,6.7,2.5%,8.9%,16.9%,65.1%,25.4%
Peyton Williams,PHX,28,6-3,-,Kansas State,USA,1,0.0,0.0,2.0,-8.3,0.0%,0.0%,7.7%,0.0%,50.0%
Quionche Carter,PHX,25,6-1,-,Florida Gulf Coast,USA,13,1.2,0.7,0.5,-10.7,3.3%,7.6%,14.2%,30.0%,15.2%
Rachel Banham,CHI,32,5-10,181,Minnesota,USA,20,4.3,1.0,0.9,-3.2,0.9%,5.4%,16.1%,46.8%,11.0%
Rae Burrell,LAS,26,6-2,168,Tennessee,USA,21,12.3,2.2,2.0,-7.5,2.3%,5.9%,20.6%,55.3%,11.4%
Raegan Beers,CON,22,6-4,244,Oklahoma,USA,18,3.8,2.9,0.8,0.8,10.1%,18.5%,15.3%,59.6%,12.1%
Raquel Carrera,NYL,24,6-3,-,None,Spain,12,1.9,1.3,0.3,4.1,9.1%,13.6%,12.3%,74.7%,7.3%
Raven Johnson,IND,23,5-8,167,South Carolina,USA,23,4.3,2.5,1.7,3.1,5.5%,11.7%,16.1%,48.8%,19.3%
Rebecca Allen,NYL,33,6-2,162,None,Australia,9,1.7,1.2,0.7,-11.0,2.5%,9.7%,14.4%,31.7%,10.0%
Rebekah Gardner,NYL,36,6-1,130,UCLA,USA,23,4.8,2.0,1.2,-0.6,5.3%,7.9%,14.1%,56.6%,13.5%
Rhyne Howard,ATL,26,6-2,175,Kentucky,USA,22,18.5,3.8,3.2,4.3,2.0%,9.9%,20.2%,57.5%,15.5%
Rickea Jackson,CHI,25,6-2,175,Tennessee,USA,4,18.0,4.8,2.0,-7.2,3.1%,11.1%,28.4%,51.7%,14.3%
Rori Harmon,WAS,23,5-6,146,Texas,USA,8,1.0,1.0,1.4,-11.1,0.0%,11.8%,15.6%,37.2%,30.6%
Sabrina Ionescu,NYL,28,5-11,165,Oregon,USA,12,13.3,3.9,4.3,-4.5,2.5%,10.8%,22.0%,50.9%,24.1%
Sami Whitcomb,PHX,37,5-10,149,Washington,Australia,2,1.0,3.5,2.0,-23.7,4.0%,26.1%,23.1%,11.3%,30.8%
Sania Feagin,PDX,23,6-3,-,South Carolina,USA,3,0.0,0.3,0.7,-30.8,0.0%,9.1%,3.2%,0.0%,25.0%
Saniya Rivers,CON,23,6-1,159,North Carolina State,USA,21,6.8,2.4,3.1,-12.5,1.5%,9.3%,18.3%,40.9%,22.6%
Sarah Ashlee Barker,PDX,24,6-0,173,Alabama,USA,22,10.7,4.5,2.4,-5.3,3.2%,14.8%,18.8%,59.1%,16.3%
Satou Sabally,NYL,28,6-4,175,Oregon,Germany,13,10.4,2.8,1.9,4.9,2.4%,12.8%,24.8%,60.9%,19.8%
Saylor Poffenbarger,CHI,23,6-2,189,Maryland,-,5,0.0,1.2,0.2,-7.1,3.8%,25.0%,6.5%,0.0%,5.9%
Serah Williams,PDX,22,6-4,185,Connecticut,Canada,19,3.7,2.5,0.5,-2.2,8.6%,17.7%,16.2%,53.7%,7.0%
Shakira Austin,WAS,25,6-5,200,Mississippi,USA,20,14.0,9.1,2.8,-3.1,6.2%,23.9%,23.7%,53.0%,18.3%
Shatori Walker-Kimbrough,ATL,31,5-9,140,Maryland,USA,2,0.0,0.0,0.0,-86.3,0.0%,0.0%,11.1%,0.0%,0.0%
Shay Ciezki,PHX,22,5-7,-,Indiana,USA,2,1.5,0.5,0.5,93.6,0.0%,10.0%,8.0%,75.0%,14.3%
Sika Kone,ATL,24,6-3,180,None,Mali,22,2.2,1.3,0.3,5.2,9.2%,13.0%,19.5%,43.4%,7.1%
Skylar Diggins,CHI,35,5-9,140,Notre Dame,USA,19,14.2,3.2,4.9,-7.0,2.2%,8.3%,22.3%,51.5%,28.9%
Sonia Citron,WAS,22,6-1,175,Notre Dame,USA,18,18.7,4.1,3.4,-0.7,2.3%,9.5%,21.6%,63.4%,18.5%
Sophie Cunningham,IND,29,6-1,156,Missouri,USA,22,9.6,2.3,1.4,5.1,0.9%,9.3%,14.4%,68.4%,9.1%
Stefanie Dolson,SEA,34,6-5,235,Connecticut,USA,25,4.2,2.5,1.2,-7.2,3.3%,9.8%,10.3%,62.9%,10.9%
Stephanie Talbot,LVA,32,6-2,192,None,Australia,24,3.6,3.3,1.3,0.7,6.4%,10.8%,10.0%,50.2%,9.7%
Sug Sutton,DAL,27,5-8,140,Texas-Austin,USA,12,5.0,0.8,2.4,-8.9,0.6%,6.5%,19.5%,52.4%,29.9%
Sydney Taylor,CHI,25,5-9,-,Louisville,USA,21,12.9,1.2,1.4,0.6,1.9%,4.5%,27.3%,57.7%,14.0%
Ta'Niya Latson,LVA,22,5-8,-,South Carolina,USA,10,1.8,1.0,0.3,-10.9,6.4%,14.3%,20.0%,51.1%,12.0%
Taina Mair,SEA,22,5-9,-,Duke,USA,3,0.7,0.7,0.7,-28.0,7.1%,8.3%,25.8%,14.5%,33.3%
Taylor Thierry,SEA,23,6-1,-,Ohio State,USA,9,0.7,0.9,0.0,-25.0,10.2%,7.5%,9.8%,37.5%,0.0%
Te-Hina Paopao,ATL,23,5-9,-,South Carolina,-,23,4.0,1.0,1.6,-9.1,0.9%,6.7%,14.9%,49.1%,20.6%
Teaira McCowan,MIN,29,6-8,239,Mississippi State,USA,10,1.4,2.4,0.3,30.1,7.5%,25.3%,13.5%,42.9%,5.9%
Teja Oblak,PDX,35,5-8,149,None,Slovenia,17,6.3,1.7,3.2,-2.8,4.6%,8.4%,24.2%,60.5%,40.0%
Temi Fagbenle,TOR,33,6-5,180,Harvard,United Kingdom,8,6.6,4.1,1.8,-4.3,7.8%,14.2%,15.5%,59.8%,15.1%
Teonni Key,TOR,23,6-4,170,Kentucky,USA,21,1.9,1.8,0.4,-11.0,7.9%,10.6%,11.0%,47.7%,7.0%
Tiffany Hayes,GSV,36,5-10,155,Connecticut,USA,22,7.1,1.2,2.3,5.2,1.4%,6.8%,20.0%,56.8%,26.5%
Tima Pouye,TOR,27,5-10,-,None,France,15,3.1,0.9,1.3,-10.8,3.4%,6.2%,17.8%,43.7%,19.8%
Tyasha Harris,IND,28,5-10,164,South Carolina,USA,18,4.4,1.3,2.1,13.2,1.3%,7.6%,13.7%,54.6%,20.3%
Valeriane Ayayi,PHX,32,6-1,-,None,France,18,7.3,3.2,1.4,-2.9,5.1%,13.9%,19.5%,58.2%,14.9%
Veronica Burton,GSV,26,5-9,155,Northwestern,USA,24,12.3,3.3,5.3,10.7,3.5%,8.4%,20.4%,53.6%,33.0%
Zia Cooke,SEA,25,5-9,163,South Carolina,USA,25,7.3,1.9,1.0,-9.6,3.4%,8.9%,26.2%,46.3%,13.7%
