Player,Team,Age,Height,Weight,College,Country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Jovana Nogic,PHX,28,6-0,-,Providence,Serbia,16,10.4,1.1,1.6,0.9,2.2%,3.3%,21.4%,61.2%,14.7%
Joyner Holmes,SEA,28,6-3,210,University of Texas at Austin,USA,1,2.0,5.0,1.0,-4.4,5.0%,21.1%,17.6%,25.0%,14.3%
Julie Allemand,TOR,30,5-10,152,None,Belgium,17,6.1,3.1,5.6,1.4,0.4%,10.3%,9.4%,65.6%,28.1%
Julie Vanloo,NYL,33,5-8,-,None,Belgium,5,5.8,2.0,5.4,18.1,1.5%,8.5%,15.9%,77.3%,44.3%
Juste Jocyte,GSV,20,6-0,-,None,Lithuania,9,2.7,0.6,0.8,8.0,0.0%,8.6%,24.3%,43.2%,18.9%
Justine Pissott,LVA,22,6-4,175,Vanderbilt,USA,2,9.5,1.5,1.0,-38.8,0.0%,15.0%,23.6%,79.2%,15.4%
Kahleah Copper,PHX,31,6-1,165,Rutgers,USA,23,20.3,3.9,1.7,-7.0,1.9%,10.7%,28.8%,53.3%,10.4%
Kaila Charles,GSV,28,6-1,168,Maryland,USA,24,6.1,4.8,1.3,13.1,8.3%,15.2%,16.4%,47.3%,10.8%
Kaitlyn Chen,GSV,24,5-9,-,Connecticut,USA,24,7.2,1.3,1.7,3.7,2.5%,6.8%,19.6%,62.9%,22.1%
Kamiah Smalls,PDX,28,5-10,161,James Madison,USA,2,7.5,0.0,3.0,-30.6,0.0%,0.0%,19.7%,71.8%,40.0%
Kamilla Cardoso,CHI,25,6-7,215,South Carolina,Brazil,23,14.3,8.6,2.5,-5.5,9.4%,21.9%,21.3%,62.5%,16.8%
Karlie Samuelson,PDX,31,6-0,159,Stanford,USA,12,3.3,1.2,0.8,-19.7,3.5%,6.3%,11.1%,54.1%,11.1%
Kate Martin,LAS,26,6-0,172,Iowa,USA,12,3.0,1.2,0.4,-3.5,3.1%,11.2%,14.5%,50.7%,6.7%
Katie Lou Samuelson,SEA,29,6-3,163,Connecticut,USA,19,3.9,2.1,0.9,-16.3,1.3%,11.8%,11.4%,54.3%,10.2%
Kayla Alexander,TOR,35,6-4,186,Syracuse,Canada,1,1.0,2.0,0.0,-54.1,8.3%,12.5%,11.5%,26.6%,0.0%
Kayla McBride,MIN,34,5-11,179,Notre Dame,USA,23,16.2,3.8,2.5,10.0,2.2%,9.1%,20.0%,57.6%,11.6%
Kayla Thornton,GSV,33,6-1,190,Texas-El Paso,USA,24,7.9,5.0,0.7,10.0,5.9%,14.2%,15.8%,48.9%,4.5%
Kelsey Mitchell,IND,30,5-8,153,Ohio State,USA,23,22.7,1.7,2.9,8.5,1.4%,3.9%,25.9%,62.1%,15.4%
Kelsey Plum,LAS,31,5-8,145,Washington,USA,12,23.9,2.2,6.4,-0.9,0.8%,5.9%,26.7%,65.3%,33.2%
Kennedy Burke,CON,29,6-1,199,UCLA,USA,22,7.9,3.2,1.6,-6.7,4.0%,9.3%,16.6%,49.2%,11.1%
Kia Nurse,TOR,30,6-0,195,Connecticut,Canada,23,4.7,1.1,0.7,-10.4,1.9%,7.2%,17.5%,53.8%,10.1%
Kiah Stokes,GSV,33,6-3,191,Connecticut,USA,24,3.7,5.0,1.3,2.0,3.8%,18.4%,8.2%,53.9%,9.8%
Kiana Williams,LAS,27,5-8,140,Stanford,USA,14,4.4,0.4,1.3,-6.9,0.4%,2.7%,15.4%,48.3%,14.4%
Kierstan Bell,LVA,26,6-1,176,Florida Gulf Coast,USA,19,2.2,1.6,0.8,-5.3,3.5%,10.1%,14.1%,34.2%,10.7%
Kiki Iriafen,WAS,22,6-3,202,Southern California,USA,18,15.1,9.4,1.7,-0.1,10.1%,21.9%,23.4%,56.5%,12.6%
Kiki Rice,TOR,22,5-11,166,UCLA,USA,10,12.7,4.7,2.6,7.1,4.6%,14.5%,16.9%,67.0%,15.4%
Kyara Linskens,PHX,29,6-4,-,None,Belgium,16,3.3,2.3,0.6,-13.4,7.1%,14.1%,17.2%,45.2%,11.1%
Laeticia Amihere,GSV,25,6-3,185,South Carolina,Canada,20,3.4,3.7,1.3,15.2,11.9%,19.6%,15.6%,47.5%,16.0%
Laura Juskaite,TOR,28,6-4,188,None,Lithuania,23,9.5,3.8,1.7,5.9,4.6%,12.4%,17.6%,61.0%,11.5%
Laura Ziegler,LAS,23,6-2,-,Louisville,USA,3,2.7,1.3,1.0,-12.3,2.6%,9.1%,11.7%,42.9%,13.6%
Lauren Betts,WAS,22,6-7,231,UCLA,USA,21,6.6,3.5,1.0,-2.6,7.3%,14.6%,17.9%,56.9%,11.5%
Leila Lacan,CON,22,5-11,-,None,France,14,12.4,1.7,4.6,-5.6,1.9%,4.1%,21.3%,49.8%,28.1%
Leonie Fiebich,NYL,26,6-4,-,None,Germany,14,10.0,2.6,1.9,7.8,4.5%,4.7%,15.1%,62.2%,10.4%
Lexi Held,PHX,26,5-10,138,DePaul,USA,23,5.6,1.4,1.5,-0.9,2.5%,5.8%,15.7%,52.4%,14.2%
Lexie Brown,SEA,31,5-9,162,Duke,USA,10,3.8,1.3,1.1,-15.0,0.7%,8.4%,11.2%,66.3%,13.8%
